time	V(vout)
Step Information: Run=0  (Run: 1/8)
0.000000000000000e+000	3.299133e+000
3.514491399272401e-004	3.299132e+000
2.460143979490681e-003	3.299132e+000
4.463404077075950e-002	3.299133e+000
1.246340407707578e-001	3.299133e+000
1.646340407707569e-001	3.299132e+000
2.046340407707561e-001	3.299126e+000
2.446340407707552e-001	2.474556e+000
2.846340407707544e-001	4.824356e-003
2.847301980797887e-001	8.694864e-004
3.337704256866871e-001	8.689088e-004
3.737704256866863e-001	8.684816e-004
4.137704256866854e-001	8.680889e-004
4.537704256866846e-001	8.677320e-004
4.937704256866837e-001	8.674125e-004
5.337704256866829e-001	8.671510e-004
5.737704256866820e-001	8.670499e-004
6.137704256866812e-001	8.675464e-004
6.537704256866803e-001	8.704559e-004
7.087704256866800e-001	8.939086e-004
7.293954256866790e-001	9.559672e-004
7.306454256866779e-001	1.000686e-003
7.331454256866792e-001	1.170620e-003
7.332235506866809e-001	1.188276e-003
7.334188631866816e-001	1.275258e-003
7.334969881866833e-001	1.365508e-003
7.336532381866832e-001	1.734518e-003
7.336935023163207e-001	1.959659e-003
7.337020472381965e-001	2.074247e-003
7.337118128631950e-001	2.389756e-003
7.337313441131954e-001	3.537435e-003
7.337324400224645e-001	3.696323e-003
7.337346318410027e-001	4.228163e-003
7.337351797956373e-001	4.412134e-003
7.337362757049064e-001	4.960822e-003
7.337376967693032e-001	6.013520e-003
7.337384369045843e-001	6.911852e-003
7.337390614357631e-001	8.122632e-003
7.337394662937129e-001	9.373517e-003
7.337398675253688e-001	1.136993e-002
7.337401858821302e-001	1.395650e-002
7.337404305596174e-001	1.727923e-002
7.337406284484338e-001	2.179633e-002
7.337407949196901e-001	2.823418e-002
7.337409399755686e-001	3.785554e-002
7.337410708468966e-001	5.291706e-002
7.337411946036490e-001	7.844552e-002
7.337413337247334e-001	1.280246e-001
7.337414592672076e-001	2.015513e-001
7.337416129463819e-001	3.339821e-001
7.337418138594813e-001	5.525458e-001
7.337420421447582e-001	8.299831e-001
7.337422860002754e-001	1.138140e+000
7.337426934155396e-001	1.657228e+000
7.337435082460679e-001	2.690002e+000
7.337438467063926e-001	3.095727e+000
7.337440169806975e-001	3.262179e+000
7.337440624612235e-001	3.286076e+000
7.337441015564927e-001	3.292728e+000
7.337441191453245e-001	3.294165e+000
7.337441413654240e-001	3.295210e+000
7.337441659592976e-001	3.296007e+000
7.337441934169000e-001	3.296602e+000
7.337442350329937e-001	3.297198e+000
7.337442748473961e-001	3.297563e+000
7.337443544762046e-001	3.297997e+000
7.337444418071861e-001	3.298273e+000
7.337446164691457e-001	3.298549e+000
7.337448770660231e-001	3.298746e+000
7.337453982597815e-001	3.298900e+000
7.337464406472947e-001	3.299010e+000
7.337485254223211e-001	3.299075e+000
7.337610340724794e-001	3.299125e+000
7.337777122726905e-001	3.299130e+000
7.679013099056817e-001	3.299131e+000
8.020582639390987e-001	3.299131e+000
8.420582639390979e-001	3.299131e+000
8.820582639390970e-001	3.299132e+000
9.220582639390962e-001	3.299132e+000
9.620582639390953e-001	3.299133e+000
1.002058263939095e+000	3.299133e+000
1.042058263939094e+000	3.299133e+000
1.122058263939092e+000	3.299130e+000
1.162058263939091e+000	3.299061e+000
1.202058263939090e+000	3.298852e+000
1.202683263939090e+000	3.298817e+000
1.202839513939090e+000	3.298752e+000
1.203152013939089e+000	3.298485e+000
1.203161779564088e+000	3.298469e+000
1.203181310814088e+000	3.298409e+000
1.203220373314089e+000	3.298240e+000
1.203230138939087e+000	3.298171e+000
1.203249670189088e+000	3.297972e+000
1.203254553001589e+000	3.297900e+000
1.203264318626587e+000	3.297707e+000
1.203266760032836e+000	3.297641e+000
1.203271642845337e+000	3.297429e+000
1.203281408470335e+000	3.296794e+000
1.203283085480642e+000	3.296579e+000
1.203286439501259e+000	3.295909e+000
1.203286869218928e+000	3.295788e+000
1.203287728654267e+000	3.295427e+000
1.203289447524949e+000	3.294369e+000
1.203290468005747e+000	3.293426e+000
